pan_id,dataproduct,ref,vea,rtn,rms,sza_left,sza_right
118,O4VIS,Ref,-5.0,IW,[],[],[]
118,O4VIS,Ref,-5.0,IX,"[0.0092093, 0.009421199999999998, 0.011610500000000001, 0.00813, 0.006633399999999999, 0.0039871]","[28.54, 28.75, 28.96, 29.17, 29.381, 29.591]","[28.75, 28.96, 29.17, 29.381, 29.591, 29.801]"
118,O4VIS,Ref,-4.0,IW,[],[],[]
118,O4VIS,Ref,-4.0,IX,"[0.0086327, 0.008721199999999998, 0.012385750000000001, 0.009315599999999999, 0.00834395, 0.0068629]","[28.54, 28.75, 28.96, 29.17, 29.381, 29.591]","[28.75, 28.96, 29.17, 29.381, 29.591, 29.801]"
118,O4VIS,Ref,-3.0,IW,[],[],[]
118,O4VIS,Ref,-3.0,IX,"[0.0084731, 0.008794, 0.01087925, 0.0081956, 0.0072011, 0.0058324499999999994]","[28.54, 28.75, 28.96, 29.17, 29.381, 29.591]","[28.75, 28.96, 29.17, 29.381, 29.591, 29.801]"
118,O4VIS,Ref,-2.0,IW,[],[],[]
118,O4VIS,Ref,-2.0,IX,"[0.0073688, 0.008022599999999998, 0.009552899999999996, 0.0098076, 0.015299999999999996, 0.017161999999999993]","[28.54, 37.952, 47.364, 56.776, 66.187, 75.599]","[37.952, 47.364, 56.776, 66.187, 75.599, 85.011]"
118,O4VIS,Ref,-1.8,IW,[],[],[]
118,O4VIS,Ref,-1.8,IX,"[0.007248999999999999, 0.00821025, 0.00964925, 0.0081666, 0.0070989, 0.0060434]","[28.54, 28.75, 28.96, 29.17, 29.381, 29.591]","[28.75, 28.96, 29.17, 29.381, 29.591, 29.801]"
118,O4VIS,Ref,-1.6,IW,[],[],[]
118,O4VIS,Ref,-1.6,IX,"[0.007056, 0.008095499999999999, 0.00906775, 0.00769275, 0.0069368, 0.0058846]","[28.54, 28.75, 28.96, 29.17, 29.381, 29.591]","[28.75, 28.96, 29.17, 29.381, 29.591, 29.801]"
118,O4VIS,Ref,-1.2,IW,[],[],[]
118,O4VIS,Ref,-1.2,IX,"[0.0062079, 0.00765125, 0.00789875, 0.0070966499999999995, 0.006231, 0.005139100000000001]","[28.54, 28.75, 28.96, 29.17, 29.381, 29.591]","[28.75, 28.96, 29.17, 29.381, 29.591, 29.801]"
118,O4VIS,Ref,-1.1,IW,[],[],[]
118,O4VIS,Ref,-1.1,IX,"[0.0065926, 0.0073295, 0.0087405, 0.0074198499999999995, 0.0062923, 0.0054639]","[28.54, 28.75, 28.96, 29.17, 29.381, 29.591]","[28.75, 28.96, 29.17, 29.381, 29.591, 29.801]"
118,O4VIS,Ref,-1.0,IW,[],[],[]
118,O4VIS,Ref,-1.0,IX,"[0.00570465, 0.0065635, 0.005341, 0.0073268, 0.005702199999999999, 0.00454115]","[28.54, 28.748, 28.957, 29.166, 29.374, 29.582]","[28.748, 28.957, 29.166, 29.374, 29.582, 29.791]"
118,O4VIS,Ref,-0.8,IW,[],[],[]
118,O4VIS,Ref,-0.8,IX,"[0.0051144, 0.00640675, 0.004958199999999999, 0.0066358, 0.0049145, 0.00392565]","[28.55, 28.757, 28.964, 29.17, 29.377, 29.584]","[28.757, 28.964, 29.17, 29.377, 29.584, 29.791]"
118,O4VIS,Ref,-0.6,IW,[],[],[]
118,O4VIS,Ref,-0.6,IX,"[0.0043778, 0.00574775, 0.0041383999999999995, 0.0056102, 0.0043126499999999995, 0.0031132499999999997]","[28.55, 28.757, 28.964, 29.17, 29.377, 29.584]","[28.757, 28.964, 29.17, 29.377, 29.584, 29.791]"
118,O4VIS,Ref,-0.4,IW,[],[],[]
118,O4VIS,Ref,-0.4,IX,"[0.0034464, 0.00380575, 0.002506, 0.0040947, 0.0028813, 0.0023482499999999996]","[28.55, 28.757, 28.964, 29.17, 29.377, 29.584]","[28.757, 28.964, 29.17, 29.377, 29.584, 29.791]"
118,O4VIS,Ref,-0.2,IW,[],[],[]
